nome,nome,votos
LUIZ GIONILSON PINHEIRO BORGES,LUIZ GIONILSON PINHEIRO BORGES,18709
MARIA DE NAZARÉ DIAS FERREIRA,MARIA DE NAZARÉ DIAS FERREIRA,18
TELMA ADRIANA NERY PAIVA,TELMA ADRIANA NERY PAIVA,9247
ALLAN ROSAS SALES,ALLAN ROSAS SALES,3093
JOSE ARNOUDO ALVES DE AMORIM,JOSE ARNOUDO ALVES DE AMORIM,764
DENISE APARECIDA MORELLI RIBEIRO,DENISE APARECIDA MORELLI RIBEIRO,80
PATRICIA LIMA FERRAZ,PATRICIA LIMA FERRAZ,9678
AGORD DE MATOS PINTO,AGORD DE MATOS PINTO,1598
AGUIDA BARRIGA DA SILVA,AGUIDA BARRIGA DA SILVA,971
MARCOS JOSE REATEGUI SOUZA,MARCOS JOSE REATEGUI SOUZA,12485
RONALDO VITORIA FAGUNDES,RONALDO VITORIA FAGUNDES,541
JULIAM EDUARDO HOLANDA SOARES,JULIAM EDUARDO HOLANDA SOARES,885
ALZENIR DE SOUZA SANTOS,ALZENIR DE SOUZA SANTOS,361
ANTONIO RAIMUNDO BLANC DOS SANTOS,ANTONIO RAIMUNDO BLANC DOS SANTOS,755
CAMILO OLIVEIRA DE SOUZA,CAMILO OLIVEIRA DE SOUZA,629
EVANDRO COSTA GAMA,EVANDRO COSTA GAMA,3530
MANOEL DO NASCIMENTO CAMARA SOUZA,MANOEL DO NASCIMENTO CAMARA SOUZA,1412
MARIA DO PERPETUO SOCORRO DE ARAUJO MODESTO,MARIA DO PERPETUO SOCORRO DE ARAUJO MODESTO,1972
EDUARDO SEABRA DA COSTA,EDUARDO SEABRA DA COSTA,2127
JOZIANE ARAUJO NASCIMENTO ROCHA,JOZIANE ARAUJO NASCIMENTO ROCHA,10007
JORIELSON BRITO NASCIMENTO,JORIELSON BRITO NASCIMENTO,4818
ANTONIO LUIZ COUTINHO MARQUES,ANTONIO LUIZ COUTINHO MARQUES,370
REGIANE GURGEL MENEZES MEDEIROS,REGIANE GURGEL MENEZES MEDEIROS,61
FRANCISCO ODILON FILHO,FRANCISCO ODILON FILHO,7564
FRAN SOARES NASCIMENTO JUNIOR,FRAN SOARES NASCIMENTO JUNIOR,0
JURANDIL DOS SANTOS JUAREZ,JURANDIL DOS SANTOS JUAREZ,8515
PEDRO LOURENÇO DA COSTA NETO,PEDRO LOURENÇO DA COSTA NETO,3565
ALDRIN NUNES TORRINHA,ALDRIN NUNES TORRINHA,6755
MARCIA NAZARÉ FARIAS PINHEIRO,MARCIA NAZARÉ FARIAS PINHEIRO,452
OFIRNEY DA CONCEIÇAO SADALA,OFIRNEY DA CONCEIÇAO SADALA,10285
ELIZOMAR PEREIRA ALVES,ELIZOMAR PEREIRA ALVES,521
SIDIANE RIBEIRO SOBRINHO,SIDIANE RIBEIRO SOBRINHO,64
ADIMIRÇO DE ALMEIDA RAMOS,ADIMIRÇO DE ALMEIDA RAMOS,889
ZILMA CORREA BALIEIRO DOS SANTOS,ZILMA CORREA BALIEIRO DOS SANTOS,10478
EURISON DE ANDRADE DA SILVA,EURISON DE ANDRADE DA SILVA,5291
ARLITA SÁ DA SILVA,ARLITA SÁ DA SILVA,0
